Sr. no ,Item name,Item description,UoM,amount per box/pack/roll,full boxes/packs/rolls,Open ,in stock,Location,Image,Remarks
1, tubular lever lock,,set ,24,2,13,61,store room,,
2,"shoulder bag
STANLEY ",,Piece,0,0,8,8,store room,,
3,"shoulder bag
INGCO",,Piece,0,0,2,2,store room,,
4,"tool bag 
STANLEY",,Piece,0,0,3,3,store room,,
5,plastic bucket,,Piece,0,0,2,2,store room,,
6,polythene bags,,,0,0,20,20,store room,,
7,white board,,,0,0,9,9,store room,,
8,lever arc file,,piece ,10,7,0,70,store room,,
9,file hooks,,piece ,50,1,0,50,store room,,
10,KN-95 face masks,,sack,500,2,0,1000,store room,,
11,cotton gloves ,,sack,500,4,0,2000,store room,,
12,cotton rags,,sack,500,1,0,500,store room,,
13,telephone,,piece,0,0,1,1,store room,,
14,computer mouse,,piece,1,3,2,5,store room,,
15,binoculars,,piece,0,0,1,1,store room,,
16,power supply cable,,piece,0,0,4,4,store room,,
17,transparent plastic pipe,,roll,1,2,0,2,store room,,
18,copper cable,,roll,1,1,0,1,store room,,
19,keyboard,,piece,0,0,1,1,store room,,
