Sr. no ,Item name,Item description,UoM,amount per box/pack/roll,full boxes/packs/rolls,Open ,in stock,Location,Image,Remarks
1,ROYAL Padestal fan,,Packet,1,4,0,4,"Rack D
Section D1",,
2,power extension cable 1-phase,,Piece,0,0,5,5,"Rack D
Section D1
",,
3,"battery internal 
resistance tester
",,Piece,1,1,0,1,"Rack D
Section D2
",,"belongs to 
Power transition"
4,"IR tester 
(UNI-T)
",,Piece,1,1,0,1,"Rack D
Section D2
",,"belongs to 
Power transition"
5,"Clamp earth 
ground tester
UNI-T",,Piece,1,2,0,2,"Rack D
Section D2
",,"belongs to 
Power transition"
6,0.4kV insulators,,Piece,0,0,3,3,"Rack D
Section D2
",,"belongs to 
Power transition"
7,Fuel guage,,Piece,0,0,1,1,"Rack D
Section D2
",,"belongs to 
Power transition"
8,"Generator AVR 
MX-341B",,Box,1,5,0,5,"Rack D
Section D2
",,"belongs to 
Power transition"
9,"Switching power
 supply
(HF 25W-SE-12)",,Piece,1,1,,1,"Rack D
Section D2
",,"belongs to 
Power transition"
10,"ACREL energy meter
AMC96-LB4/KC",,Piece,1,1,0,1,"Rack D
Section D2
",,"belongs to 
Power transition"
11,"energy analyzer 
DZ81-MS317C-A",,Piece,0,0,2,2,"Rack D
Section D2
",,"belongs to 
Power transition"
12,"MCU charger
HYTERA",,Piece,0,0,1,1,"Rack D
Section D2
",,"belongs to 
Power transition"
13,DXN device,,Piece,0,0,1,1,"Rack D
Section D2
",,"belongs to 
Power transition"
14,"changeover Contacts
(Male)",,Piece,0,0,2,2,"Rack D
Section D2
",,"belongs to 
Power transition"
15,"changeover Contacts
(Female)",,Piece,0,0,1,1,"Rack D
Section D2
",,"belongs to 
Power transition"
16,MCGS display,,Piece,0,0,1,1,"Rack D
Section D2
",,"belongs to 
Power transition"
17,First aid box,,box,1,2,0,2,"Rack D
Section D2
",,
18,"Indication lights
(Red)",,Piece,10,10,0,100,"Rack D
Section D3
",,"belongs to 
Power transition"
19,"Indication lights
(green)",,Piece,10,16,0,160,"Rack D
Section D3
",,"belongs to 
Power transition"
20,"Indication lights
(yellow)",,Piece,10,8,0,80,"Rack D
Section D3
",,"belongs to 
Power transition"
21,"Indication lights
(white)",,Piece,10,7,20,90,"Rack D
Section D3
",,"belongs to 
Power transition"
22,"Indication lights
(4-segment )",,Piece,0,0,10,10,"Rack D
Section D3
",,"belongs to 
Power transition"
23,COB track light,,Piece,12,1,5,17,"Rack D
Section D3
",,
24,Power Lead,,Piece,1,4,0,4,"Rack D
Section D3
",,
25,Panel cover,,Piece,0,0,5,5,"Rack D
Section D3
",,
26,"key holder 
(metallic)",,Piece,0,0,3,3,"Rack D
Section D3
",,
27,"key holder 
(wooden)",,Piece,0,0,2,2,"Rack D
Section D3
",,
28," bolt latch 
",,Piece,0,0,2,2,"Rack D
Section D3
",,
29,GJS  door handle set,,set ,1,6,0,6,"Rack D
Section D3
",,
30,Philips bulb 6.5W,,piece ,14,3,0,42,"Rack D
Section D3
",,
31,2-level philips bulb,,piece ,1,6,0,6,"Rack D
Section D3
",,
32,"Battery terminals 
",,jar,12,20,0,240,"Rack D
Section D3
",,
33,HV capacitor,,Piece,3,1,1,4,"Rack D
Section D3
",,
34,33kv termination kit,,set ,1,1,0,1,"Rack D
Section D4
",,
35,Joint kit,,set ,1,21,0,21,"Rack D
Section D4
",,
36,cold shrink,,piece,6,3,4,22,"Rack D
Section D4
",,
