"Sr.
 no ",Item name,Item description,UoM,"amount
per box/
 pack/
 roll","full 
boxes/ packs/ rolls",Open ,in stock,Location,Image,Remarks
39,"Paint Brush 3"" ",,Piece,10,5,24,74,"Rack A
Section A3",,
40,"Paint Brush 4"" ",,Piece,0,0,3,3,"Rack A
Section A3",,
41,curve wire brush,,Piece,0,0,18,18,"Rack A
Section A3",,
42,flat wire brush,,Piece,0,0,50,50,"Rack A
Section A3",,
43,Plastic nut bolt,,Pack,100,1,0,100,"Rack A
Section A3",,
44,metal nut bolt,,Pack,100,1,0,100,"Rack A
Section A3",,
45,Wing nut,,Pack,100,1,0,100,"Rack A
Section A3",,
46,L bolt,,Pack,100,1,0,100,"Rack A
Section A3",,
47,"Adamjee 
Blind rivets",,Piece,1000,2,0,2000,"Rack A
Section A3",,
48,Mospel lotion,,bottle,0,0,84,84,"Rack A
Section A3",,
49,"GUARD anti-freeze
coolant",,bottle,12,2,0,24,"Rack A
Section A3",,
50,Glass cleaner ,,bottle,0,0,69,69,"Rack A
Section A3",,
51,Ethanol ,,Gallon,12,1,0,12,"Rack A
Section A3",,
52,"Cable lugs XL
(185-16)",,Piece,40,3,0,120,"Rack A
Section A4",,
53,"Cable lugs L
(150-12)",,Piece,50,2,0,100,"Rack A
Section A4",,
54,"Cable lugs M
(95-12)",,Piece,100,1,0,100,"Rack A
Section A4",,
55,"Cable lugs S
(50-10)",,Piece,200,1,0,200,"Rack A
Section A4",,
56,mix small cable lugs,,box ,5000,1,0,5000,"Rack A
Section A4",,
57,Ethernet cables,,Piece,0,0,10,10,"Rack A
Section A4",,
58,"copper wire
cable M",,roll,0,0,2,2,"Rack A
Section A4",,
59,"copper wire
cable S",,roll,0,0,2,2,"Rack A
Section A4",,
60,"Low Carbon 
Steel Wire",,roll,0,0,1,1,"Rack A
Section A4",,
61,"terminal
cover (red)",,pack,100,1,0,100,"Rack A
Section A4",,
62,"terminal
cover (black)",,pack,100,1,0,100,"Rack A
Section A4",,
63,"Cable tie
plastic
9*500mm",,pack,100,26,0,2600,"Rack A
Section A4",,
64,"Cable tie
plastic
7.6*600mm",,pack,100,6,0,600,"Rack A
Section A4",,
65,"Cable tie
plastic
3*500mm",,pack,100,5,0,500,"Rack A
Section A4",,
66,"Cable tie
plastic
8*450mm",,pack,100,8,0,800,"Rack A
Section A4",,
67,"Cable tie
steel
5.6*400mm",,pack,100,24,0,2400,"Rack A
Section A4",,
68,"Cable tie
plastic
7.6*380mm",,pack,100,14,0,1400,"Rack A
Section A4",,
69,"Cable tie
steel
5.6*150mm",,pack,100,8,0,800,"Rack A
Section A4",,
70,"Cable tie
plastic
2.5*100mm",,pack,100,31,0,3100,"Rack A
Section A4",,
71,"heat shrink hose
18/9
",,roll,0,0,4,4,"Rack A
Section A4",,
72,"heat shrink hose
16/8
",,roll,0,0,1,1,"Rack A
Section A4",,
73,"heat shrink hose
14/7
",,roll,0,0,1,1,"Rack A
Section A4",,
74,"heat shrink hose
(medium)
",,roll,0,0,2,2,"Rack A
Section A4",,
75,"heat shrink hose
(small)
",,roll,0,0,3,3,"Rack A
Section A4",,
76,"Cable sleeve
80mm",,roll,0,0,1,1,"Rack A
Section A4",,
77,"Cable sleeve
65mm",,roll,0,0,1,1,"Rack A
Section A4",,
78,"Cable sleeve
60mm",,roll,0,0,2,2,"Rack A
Section A4",,
79,"cable sleeve 
piece 50mm",,bundle,0,0,2,2,"Rack A
Section A4",,
80,"cable sleeve 
piece 30mm",,bundle,0,0,1,1,"Rack A
Section A4",,
81,"AAA cell 
(rechargable)",,piece,2,149,0,298,"Rack B
Section B2",,
82,"AA cell 
(rechargable)",,piece,2,125,0,250,"Rack B
Section B2",,
83,"AAA cell 
(non-rechargable)",,piece,2,16,0,32,"Rack B
Section B2",,
84,"AA cell 
(non-rechargable)",,piece,0,0,54,54,"Rack B
Section B2",,
85,"6V battery
(rechargable)",,,0,0,17,17,"Rack B
Section B2",,
86,"6V battery
(non-rechargable)",,piece,0,0,29,29,"Rack B
Section B2",,
87,"9V battery 
(rechargable)",,piece,12,3,5,41,"Rack B
Section B2",,
88,Button Cell,,piece,10,70,0,700,"Rack B
Section B2",,
89,"Emery Cloth
 P36 (3#)",,Piece,0,0,76,76,"Rack B
Section B2",,
90,"Emery Cloth 
P36 (2.0#)",,Piece,0,0,74,74,"Rack B
Section B2",,
91,"Emery Cloth 
P80 (1.5#)",,Piece,0,0,16,16,"Rack B
Section B2",,
92,"Emery Cloth 
P120 (0#)",,Piece,0,0,207,207,"Rack B
Section B2",,
93,"Jubilee clumps
4''",,Piece,0,0,4,4,"Rack B
Section B2",,
94,"Jubilee clumps
3''",,Piece,0,0,4,4,"Rack B
Section B2",,
95,"Jubilee clumps
2''",,Piece,0,0,1,1,"Rack B
Section B2",,
96,"Trapuline
18x13",,Piece,0,0,4,4,"Rack B
Section B2",,
97,"Trapuline
12x9",,Piece,0,0,10,10,"Rack B
Section B2",,
98,fire blanket ,,Piece,0,0,12,12,"Rack B
Section B2",,
99,plastic sheet,,roll,0,0,2,2,"Rack B
Section B2",,
100,silica gel packets,,Piece,100,1,0,100,"Rack B
Section B2",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
